Number,Card Name,Set Name
37/75,Corsola,Neo Discovery
53/75,Caterpie,Neo Discovery
56/75,Kabuto,Neo Discovery
60/75,Omanyte,Neo Discovery
2/64,Blissey,Neo Revelation
45/64,Goldeen,Neo Revelation
48/64,Quagsire,Neo Revelation
51/64,Shuckle,Neo Revelation
13/105,Light Azumarill,Neo Destiny
31/105,Chansey,Neo Destiny
44/105,Jigglypuff,Neo Destiny
56/105,Togepi,Neo Destiny
63/105,Dratini,Neo Destiny
66/105,Girafarig,Neo Destiny
79/105,Psyduck,Neo Destiny
24/165,Poliwrath,Expedition Base Set
60/165,Poliwrath,Expedition Base Set
89/165,Poliwhirl,Expedition Base Set
125/165,Poliwag,Expedition Base Set
128/165,Rattata,Expedition Base Set
131/165,Squirtle,Expedition Base Set
136/165,Vulpix,Expedition Base Set
H13,Jumpluff,Aquapolis
H15,Lanturn,Aquapolis
17/147,Jumpluff,Aquapolis
21/147,Lanturn,Aquapolis
60/147,Skiploom,Aquapolis
70/147,Chinchou,Aquapolis
83/147,Hoppip,Aquapolis
90/147,Lickitung,Aquapolis
H22,Piloswine,Skyridge
H25,Raichu,Skyridge
24/144,Piloswine,Skyridge
27/144,Raichu,Skyridge
53/144,Dunsparce,Skyridge
84/144,Pikachu,Skyridge
107/144,Swinub,Skyridge
41/97,Shelgon,EX Dragon
57/97,Grimer,EX Dragon
69/97,Numel,EX Dragon
78/97,Trapinch,EX Dragon
16/101,Bellossom,EX Hidden Legends
35/101,Gloom,EX Hidden Legends
50/101,Swalot,EX Hidden Legends
62/101,Gulpin,EX Hidden Legends
68/101,Oddish,EX Hidden Legends
14/112,Slowbro,EX FireRed & LeafGreen
30/112,Tangela,EX FireRed & LeafGreen
43/112,Parasect,EX FireRed & LeafGreen
72/112,Paras,EX FireRed & LeafGreen
80/112,Slowpoke,EX FireRed & LeafGreen
21/109,Delibird,EX Team Rocket Returns
22/109,Furret,EX Team Rocket Returns
75/109,Sentret,EX Team Rocket Returns
78/109,Spinarak,EX Team Rocket Returns
29/107,Xatu,EX Deoxys
30/107,Donphan,EX Deoxys
66/107,Natu,EX Deoxys
69/107,Phanpy,EX Deoxys
24/106,Claydol,EX Emerald
34/106,Linoone,EX Emerald
43/106,Baltoy,EX Emerald
74/106,Zigzagoon,EX Emerald
21/115,Cleffa,EX Unseen Forces
23/115,Elekid,EX Unseen Forces
31/115,Smoochum,EX Unseen Forces
33/115,Tyrogue,EX Unseen Forces
35/113,Ditto,EX Delta Species
36/113,Ditto,EX Delta Species
37/113,Ditto,EX Delta Species
38/113,Ditto,EX Delta Species
39/113,Ditto,EX Delta Species
40/113,Ditto,EX Delta Species
61/113,Ditto,EX Delta Species
62/113,Ditto,EX Delta Species
63/113,Ditto,EX Delta Species
64/113,Ditto,EX Delta Species
58/92,Magby,EX Legend Maker
61/92,Seedot,EX Legend Maker
71/92,Wynaut,EX Legend Maker
27/101,Croconaw δ,EX Dragon Frontiers
30/101,Flaaffy δ,EX Dragon Frontiers
44/101,Chikorita δ,EX Dragon Frontiers
47/101,Ekans δ,EX Dragon Frontiers
52/123,Happiny,Mysterious Treasures
71/123,Aron,Mysterious Treasures
93/123,Pichu,Mysterious Treasures
99/123,Slakoth,Mysterious Treasures
105/123,Teddiursa,Mysterious Treasures
33/100,Budew,Stormfront
54/100,Bidoof,Stormfront
63/100,Larvitar,Stormfront
80/127,Lickitung,Platinum
82/127,Mareep,Platinum
103/127,Wurmple,Platinum
71/147,Minun,Supreme Victors
76/147,Plusle,Supreme Victors
127/147,Shroomish,Supreme Victors
132/147,Whismur,Supreme Victors
60/99,Cherubi,Arceus
75/99,Snorunt,Arceus
13/123,Wobbuffet,HeartGold & SoulSilver
25/123,Ledian,HeartGold & SoulSilver
31/123,Sunflora,HeartGold & SoulSilver
71/123,Ledyba,HeartGold & SoulSilver
85/123,Sunkern,HeartGold & SoulSilver
6/90,Magcargo,Undaunted
67/90,Slugma,Undaunted
15/102,Bronzong,Triumphant
58/102,Bronzor,Triumphant
9/113,Sewaddle,Legendary Treasures
83/113,Stunfisk,Legendary Treasures
16/17,Pikachu,POP Series 2
12/17,Ditto,POP Series 3
14/17,Happiny,POP Series 8
87/160,Hippopotas,Primal Clash
113/160,Skitty,Primal Clash
68/108,Dunsparce,Roaring Skies
47/98,Beldum,Ancient Origins
4/162,Cacnea,BREAKthrough
98/162,Snubbull,BREAKthrough
72/122,Nuzleaf,BREAKpoint
RC19,Swirlix,Generations
49/124,Carbink,Fates Collide
12/114,Foongus,Steam Siege
2/149,Metapod,Sun & Moon
50/145,Trubbish,Guardians Rising
52/145,Gothita,Guardians Rising
16/111,Starmie,Crimson Invasion
51/111,Primeape,Crimson Invasion
1/131,Exeggcute,Forbidden Light
18/131,Litleo,Forbidden Light
66/131,Binacle,Forbidden Light
57/168,Gulpin,Celestial Storm
58/168,Swalot,Celestial Storm
43/70,Shelgon,Dragon Majesty
80/214,Pachirisu,Lost Thunder
116/214,Pupitar,Lost Thunder
123/214,Alolan Dugtrio,Lost Thunder
139/214,Ralts,Lost Thunder
4/181,Kakuna,Team Up
35/181,Alolan Geodude,Team Up
47/181,Joltik,Team Up
81/181,Pancham,Team Up
10/214,Venonat,Unbroken Bonds
18/214,Grubbin,Unbroken Bonds
23/214,Darumaka,Unbroken Bonds
113/214,Sandile,Unbroken Bonds
15/236,Fomantis,Unified Minds
111/236,Relicanth,Unified Minds
17/236,Rowlet,Cosmic Eclipse
97/236,Mimikyu,Cosmic Eclipse
130/202,Ferroseed,Sword & Shield
81/192,Sandygast,Rebel Clash
146/192,Bunnelby,Rebel Clash
14/189,Bounsweet,Darkness Ablaze
22/189,Torchic,Darkness Ablaze
2/73,Weedle,Champion's Path
77/185,Dedenne,Vivid Voltage
91/185,Drilbur,Vivid Voltage
133/185,Taillow,Vivid Voltage
27/163,Salandit,Battle Styles
29/163,Sizzlipede,Battle Styles
22/198,Castform Sunny Form,Chilling Reign
91/198,Clobbopus,Chilling Reign
12/12,Skitty,McDonald's Collection 2015
SM229,Venusaur & Snivy-GX,Sun & Moon Black Star Promos
68/203,Woobat,Evolving Skies
76/203,Pumpkaboo,Evolving Skies
84/264,Snom,Fusion Strike
95/264,Tynamo,Fusion Strike
131/264,Sandshrew,Fusion Strike
10/172,Wormadam,Brilliant Stars
30/172,Staryu,Brilliant Stars
109/189,Shieldon,Astral Radiance
6/78,Spinarak,Pokemon GO
11/196,Seedot,Lost Origin
24/196,Litwick,Lost Origin
46/196,Ducklett,Lost Origin
86/196,Machop,Lost Origin
114/196,Murkrow,Lost Origin
93/195,Baltoy,Silver Tempest
92/159,Pawniard,Crown Zenith
GG49,Drapion-V,Crown Zenith Galarian Gallery
121/198,Stonjourner,Scarlet & Violet
148/198,Starly,Scarlet & Violet
72/193,Pincurchin,Paldea Evolved
